timestamp,funding_rate
1638316800,0.00010000
1638345600,0.00010000
1638374400,0.00010000
1638403200,0.00010000
1638432000,0.00010000
1638460800,0.00010000
1638489600,0.00010000
1638518400,0.00010000
1638547200,0.00010000
1638576000,0.00010000
1638604800,-0.00121599
1638633600,-0.00003885
1638662400,0.00001938
1638691200,0.00010000
1638720000,0.00009827
1638748800,-0.00006379
1638777600,-0.00003727
1638806400,0.00009200
1638835200,0.00005857
1638864000,0.00007909
1638892800,-0.00006572
1638921600,-0.00003678
1638950400,0.00003584
1638979200,0.00006803
1639008000,0.00010000
1639036800,-0.00006299
1639065600,-0.00006876
1639094400,0.00009775
1639123200,0.00010000
1639152000,-0.00004101
1639180800,0.00010000
1639209600,0.00008706
1639238400,0.00004110
1639267200,0.00006733
1639296000,0.00005208
1639324800,0.00005962
1639353600,0.00006573
1639382400,0.00004002
1639411200,-0.00004542
1639440000,-0.00019515
1639468800,0.00007746
1639497600,0.00009385
1639526400,-0.00007596
1639555200,0.00010000
1639584000,0.00010000
1639612800,0.00010000
1639641600,0.00010000
1639670400,0.00010000
1639699200,0.00010000
1639728000,0.00010000
1639756800,0.00010000
1639785600,0.00010000
1639814400,0.00010000
1639843200,0.00010000
1639872000,0.00010000
1639900800,0.00010000
1639929600,0.00010000
1639958400,0.00010000
1639987200,0.00010000
1640016000,0.00001990
1640044800,0.00001142
1640073600,0.00000844
1640102400,0.00010000
1640131200,0.00010000
1640160000,0.00010000
1640188800,0.00010000
1640217600,0.00010000
1640246400,0.00010000
1640275200,0.00010000
1640304000,0.00010000
1640332800,0.00010000
1640361600,0.00010000
1640390400,0.00010000
1640419200,0.00010000
1640448000,0.00010000
1640476800,0.00010000
1640505600,0.00010000
1640534400,0.00010000
1640563200,0.00010000
1640592000,0.00010000
1640620800,0.00010000
1640649600,0.00010000
1640678400,0.00010000
1640707200,0.00010000
1640736000,0.00006869
1640764800,0.00010000
1640793600,0.00010000
1640822400,0.00010000
1640851200,0.00010000
1640880000,0.00010000
1640908800,0.00010000
1640937600,0.00010000
1640966400,0.00010000
1640995200,0.00010000
1641024000,0.00010000
1641052800,0.00010000
1641081600,0.00010000
1641110400,0.00010000
1641139200,0.00010000
1641168000,0.00010000
1641196800,0.00010000
1641225600,0.00010000
1641254400,0.00010000
1641283200,0.00010000
1641312000,0.00010000
1641340800,0.00010000
1641369600,0.00010000
1641398400,0.00010000
1641427200,-0.00028300
1641456000,-0.00006991
1641484800,0.00008787
1641513600,-0.00002463
1641542400,-0.00014537
1641571200,-0.00009159
1641600000,0.00010000
1641628800,0.00010000
1641657600,-0.00002390
1641686400,-0.00013985
1641715200,-0.00004159
1641744000,-0.00010260
1641772800,-0.00023030
1641801600,-0.00014750
1641830400,-0.00037477
1641859200,-0.00026400
1641888000,0.00009216
1641916800,0.00001895
1641945600,-0.00001570
1641974400,0.00001363
1642003200,-0.00014556
1642032000,0.00010000
1642060800,0.00010000
1642089600,0.00010000
1642118400,0.00010000
1642147200,0.00010000
1642176000,-0.00017804
1642204800,0.00010000
1642233600,0.00010000
1642262400,0.00010000
1642291200,0.00010000
1642320000,0.00010000
1642348800,0.00010000
1642377600,0.00010000
1642406400,0.00010000
1642435200,0.00010000
1642464000,0.00010000
1642492800,0.00010000
1642521600,0.00010000
1642550400,0.00005127
1642579200,0.00009778
1642608000,0.00010000
1642636800,0.00010000
1642665600,0.00010000
1642694400,0.00010000
1642723200,-0.00020174
1642752000,-0.00019908
1642780800,0.00006641
1642809600,-0.00000229
1642838400,-0.00029717
1642867200,-0.00039253
1642896000,-0.00022543
1642924800,-0.00020590
1642953600,-0.00018487
1642982400,-0.00001439
1643011200,-0.00007567
1643040000,-0.00004654
1643068800,-0.00016899
1643097600,0.00009235
1643126400,-0.00008075
1643155200,-0.00011949
1643184000,-0.00015684
1643212800,-0.00004730
1643241600,-0.00012216
1643270400,-0.00002955
1643299200,-0.00003391
1643328000,-0.00017111
1643356800,-0.00011091
1643385600,0.00009832
1643414400,-0.00002935
1643443200,0.00007566
1643472000,0.00010000
1643500800,0.00007964
1643529600,0.00010000
1643558400,0.00003498
1643587200,-0.00004692
1643616000,-0.00015712
1643644800,-0.00013889
1643673600,0.00008181
1643702400,0.00010000
1643731200,0.00006270
1643760000,0.00007433
1643788800,0.00008686
1643817600,0.00010000
1643846400,-0.00013057
1643875200,-0.00021828
1643904000,0.00003476
1643932800,-0.00017933
1643961600,-0.00022377
1643990400,0.00007199
1644019200,0.00010000
1644048000,0.00010000
1644076800,0.00010000
1644105600,0.00010000
1644134400,0.00010000
1644163200,0.00006821
1644192000,0.00004035
1644220800,0.00010000
1644249600,0.00010000
1644278400,0.00007065
1644307200,0.00010000
1644336000,0.00010000
